idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
223	641	0	70	31	56	2	-1	-1	39	4
224	642	0	70	31	56	2	-1	-1	39	4
225	648	0	70	31	56	2	-1	-1	39	4
226	663	0	70	31	56	2	-1	-1	39	4
227	670	0	70	31	56	2	-1	-1	39	4
228	683	0	70	31	56	2	-1	-1	39	4
229	684	0	70	31	56	2	-1	-1	39	4
230	685	0	70	31	56	2	-1	-1	39	4
231	688	0	70	31	56	2	-1	-1	39	4
232	690	0	52	21	56	1	-1	-1	39	4
233	691	0	70	31	56	2	-1	-1	39	4
234	693	0	70	31	56	2	-1	-1	39	4
235	694	0	70	31	56	2	-1	-1	39	4
236	695	0	70	31	56	2	-1	-1	39	4
237	697	0	52	21	56	1	-1	-1	39	4
238	699	0	70	31	56	2	-1	-1	39	4
239	700	0	70	31	56	2	-1	-1	39	4
240	701	0	70	31	56	2	-1	-1	39	4
241	702	0	70	31	56	2	-1	-1	39	4
242	703	0	70	31	56	2	-1	-1	39	4
243	704	0	70	31	56	2	-1	-1	39	4
244	707	0	70	31	56	2	-1	-1	39	4
245	713	0	70	31	56	2	-1	-1	39	4
246	714	0	70	31	56	2	-1	-1	39	4
247	715	0	70	31	56	2	-1	-1	39	4
248	716	0	70	31	56	2	-1	-1	39	4
249	755	0	22	2	56	2	-1	-1	39	4
250	756	0	22	2	56	2	-1	-1	39	4
251	763	0	22	2	56	2	-1	-1	39	4
252	764	0	52	21	56	1	-1	-1	39	4
253	769	1	28	5	56	4	-1	-1	5	1
254	770	1	28	5	56	4	-1	-1	5	1
255	771	1	28	5	56	4	-1	-1	5	1
