# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
160	199	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	199	0	1	1	0
161	200	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	200	0	1	1	0
162	201	0000030303ff0000	0000ffffffff0000	256	0	39	4	19	3	2	201	0	1	1	0
163	202	1010ffffffff0404	0000ffffffff0000	0	4	33	2	3	7	3	202	1	2	3	0
164	203	ffffffffffffffff	0000ffffffff0000	276828160	4	33	2	5	7	3	203	1	2	1	0
165	224	1c1cffffffffff0e	12ffffffffff0000	67108864	192	39	4	19	7	3	224	4	2	1	0
166	225	1515ffffffffff04	03ffffffffff0000	0	192	39	4	19	7	3	225	4	2	3	0
167	226	151504ffffffff04	03ffffffffff0000	0	192	39	4	19	7	3	226	4	2	3	0
168	227	1c1c09ffffffff0e	12ffffffffff0000	67108864	192	39	4	19	7	3	227	4	2	1	0
169	228	1c1c09ffffffff0e	13ffffffffff0000	67108864	192	39	4	19	7	3	228	4	2	1	0
170	229	1717ffffffffff0b	05ffffffffff0000	0	192	39	4	19	7	3	229	4	2	1	0
171	230	1c1cffffffffff0e	13ffffffffff0000	67108864	192	39	4	19	7	3	230	4	2	1	0
172	231	171707ffffffff0b	05ffffffffff0000	0	192	39	4	19	7	3	231	4	2	1	0
173	236	1717ffffffffffff	05ffffffffff0000	0	192	39	4	19	7	3	236	4	2	1	0
174	237	1c1cffffffffffff	12ffffffffff0000	67108864	192	39	4	19	7	3	237	4	2	1	0
175	238	1c1cffffffffffff	13ffffffffff0000	67108864	192	39	4	19	7	3	238	4	2	1	0
176	239	171707ffffffffff	05ffffffffff0000	0	192	39	4	19	7	3	239	4	2	1	0
177	240	1c1c09ffffffffff	12ffffffffff0000	67108864	192	39	4	19	7	3	240	4	2	1	0
178	241	1c1c09ffffffffff	13ffffffffff0000	67108864	192	39	4	19	7	3	241	4	2	1	0
179	243	ffffffffffffffff	ffffffff0bff0000	469762048	0	39	4	19	7	3	243	4	2	1	0
180	246	ffffffffffffffff	ffffffff0cff0000	335544320	64	39	4	19	7	3	246	4	2	1	0
181	247	ffffffffffffffff	ffffffff0aff0000	268435456	64	39	4	19	7	3	247	4	2	1	0
