idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
298	354	1f1fffffffffffff	1fffffffffff0000	0	0	39	4	19	7	3	354	4	1	1	0
299	355	4c4cffffffffffff	04ffffffffff0000	0	0	39	4	19	7	3	355	4	1	1	0
300	356	201fffffffffffff	1fffffffffff0000	0	0	39	4	19	7	3	356	4	1	1	0
301	357	4d4dffffffffffff	05ffffffffff0000	0	0	39	4	19	7	3	357	4	1	1	0
302	358	4c4c04ffffffffff	04ffffffffff0000	0	0	39	4	19	7	3	358	4	1	1	0
303	359	1e1d07ffffffffff	1bffffffffff0000	0	0	39	4	19	7	3	359	4	1	1	0
304	360	4d4d04ffffffffff	05ffffffffff0000	0	0	39	4	19	7	3	360	4	1	1	0
305	361	5050ffffffffff1e	08ffffffffff0000	0	0	39	4	19	7	3	361	4	1	1	0
306	362	5252ffffffffff21	0cffffffffff0000	0	0	39	4	19	7	3	362	4	1	1	0
307	363	1c19ffffffffff06	19ffffffffff0000	0	0	39	4	19	7	3	363	4	1	1	0
308	364	1714ffffffffff05	17ffffffffff0000	0	0	39	4	19	7	3	364	4	1	1	0
309	365	0f52ffffffffff04	0cffffffffff0000	0	0	39	4	19	7	3	365	4	1	1	0
310	366	4f4fffffffffff1f	07ffffffffff0000	0	0	39	4	19	7	3	366	4	1	1	0
311	367	505004ffffffff1e	08ffffffffff0000	0	0	39	4	19	7	3	367	4	1	1	0
312	368	1c1907ffffffff06	19ffffffffff0000	0	0	39	4	19	7	3	368	4	1	1	0
313	369	1818ffffffffffff	17ffffffffff0000	0	0	39	4	19	7	3	369	4	1	1	0
314	370	1513ffffffffffff	13ffffffffff0000	0	0	39	4	19	7	3	370	4	1	1	0
315	371	464c04ffffffffff	04ffffffffff0000	0	0	39	4	19	7	3	371	4	1	1	0
316	372	1a1807ffffffffff	17ffffffffff0000	0	0	39	4	19	7	3	372	4	1	1	0
317	373	33250effffffffff	20ffffffffff0000	0	192	39	4	19	7	3	373	4	2	1	0
318	374	34260effffffffff	21ffffffffff0000	0	192	39	4	19	7	3	374	4	2	1	0
319	375	33250effffffffff	20ffffffffff0000	0	192	39	4	19	7	3	375	4	2	1	0
320	377	3a3a16ffffffffff	1dffffffffff0000	67108864	192	39	4	19	7	3	377	4	2	1	0
321	379	3aff16ffffffffff	1dffffffffff0000	335544320	64	39	4	19	7	3	379	4	2	1	0
322	383	3aff16ffffffffff	1dffffffffff0000	335544320	64	39	4	19	7	3	383	4	2	1	0
323	384	3a3a16ffffffffff	1dffffffffff0000	67108864	192	39	4	19	7	3	384	4	2	1	0
324	385	ffff2427ffffffff	ffffffff03ff0000	0	0	39	4	19	7	3	385	4	1	1	0
325	386	ffff272affffffff	ffffffff05ff0000	0	0	39	4	19	7	3	386	4	1	1	0
