# sm_110 40-B dependency rules (430 classes).
# Resolved to the sm_103 Blackwell dependency-rule table @ .rodata VMA
# 0x2262720 (installer sub_ABF590 enum 0x4001).  Binary-derived
# (ptxas 13.0.88).  sm_120 == sm_121 byte-identical; both resolve to sm_103
# (FP64 DFMA/DADD decoupled like sm_103 -- not coupled like sm_100;
# dependent-DFMA issue gap 0x50 not 0x10 -- verified empirically).
# Identical bytes to dependency_rules_sm_103.tsv.
idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
187	257	4	255	35	56	-1	-1	-1	39	4
188	258	4	255	35	56	-1	-1	-1	39	4
189	260	4	255	35	56	-1	-1	-1	39	4
190	261	4	255	35	56	-1	-1	-1	39	4
191	264	4	255	35	56	-1	-1	-1	39	4
192	265	4	255	35	56	-1	-1	-1	39	4
193	266	4	255	35	56	-1	-1	-1	39	4
194	267	4	255	35	56	-1	-1	-1	39	4
195	269	4	255	35	56	-1	-1	-1	39	4
196	271	4	255	35	56	-1	-1	-1	39	4
197	273	4	255	35	56	-1	-1	-1	39	4
198	274	4	255	35	56	-1	-1	-1	39	4
199	276	4	255	35	56	-1	-1	-1	39	4
200	277	4	255	35	56	-1	-1	-1	39	4
201	280	4	255	35	56	-1	-1	-1	39	4
202	282	4	255	35	56	-1	-1	-1	39	4
203	283	4	255	35	56	-1	-1	-1	39	4
204	285	4	255	35	56	-1	-1	-1	39	4
205	286	4	255	35	56	-1	-1	-1	39	4
206	287	4	255	35	56	-1	-1	-1	39	4
207	288	4	255	35	56	-1	-1	-1	39	4
208	291	4	255	35	56	-1	-1	-1	39	4
209	301	4	255	35	56	-1	-1	-1	39	4
210	307	4	255	35	56	-1	-1	-1	39	4
211	308	4	255	35	56	-1	-1	-1	39	4
212	312	4	255	35	56	-1	-1	-1	39	4
213	313	4	255	35	56	-1	-1	-1	39	4
214	315	4	255	35	56	-1	-1	-1	39	4
215	316	4	255	35	56	-1	-1	-1	39	4
216	318	4	255	35	56	-1	-1	-1	39	4
217	319	4	255	35	56	-1	-1	-1	39	4
218	326	4	255	35	56	-1	-1	-1	39	4
219	327	4	255	35	56	-1	-1	-1	39	4
220	328	4	255	35	56	-1	-1	-1	39	4
221	329	4	255	35	56	-1	-1	-1	39	4
222	334	4	255	35	56	-1	-1	-1	39	4
223	335	4	255	35	56	-1	-1	-1	39	4
224	336	4	255	35	56	-1	-1	-1	39	4
225	337	4	255	35	56	-1	-1	-1	39	4
226	341	4	255	35	56	-1	-1	-1	39	4
227	342	4	255	35	56	-1	-1	-1	39	4
228	345	4	255	35	56	-1	-1	-1	39	4
229	347	4	255	35	56	-1	-1	-1	39	4
230	349	4	255	35	56	-1	-1	-1	39	4
231	351	4	255	35	56	-1	-1	-1	39	4
232	376	4	255	35	56	-1	-1	-1	39	4
233	377	4	255	35	56	-1	-1	-1	39	4
234	379	4	255	35	56	-1	-1	-1	39	4
235	383	4	255	35	56	-1	-1	-1	39	4
236	384	4	255	35	56	-1	-1	-1	39	4
237	385	4	255	35	56	-1	-1	-1	39	4
238	386	4	255	35	56	-1	-1	-1	39	4
239	391	4	255	35	56	-1	-1	-1	39	4
240	394	4	255	35	56	-1	-1	-1	39	4
241	396	4	255	35	56	-1	-1	-1	39	4
242	401	4	255	35	56	-1	-1	-1	39	4
243	402	4	255	35	56	-1	-1	-1	39	4
244	403	4	255	35	56	-1	-1	-1	39	4
245	407	4	255	35	56	-1	-1	-1	39	4
246	412	4	255	35	56	-1	-1	-1	39	4
247	413	4	255	35	56	-1	-1	-1	39	4
248	414	4	255	35	56	-1	-1	-1	39	4
249	415	4	255	35	56	-1	-1	-1	39	4
250	421	4	255	35	56	-1	-1	-1	39	4
251	427	4	255	35	56	-1	-1	-1	39	4
252	428	4	255	35	56	-1	-1	-1	39	4
253	429	4	255	35	56	-1	-1	-1	39	4
254	448	4	255	35	56	-1	-1	-1	39	4
255	451	4	255	35	56	-1	-1	-1	39	4
256	455	4	255	35	56	-1	-1	-1	39	4
257	456	4	255	35	56	-1	-1	-1	39	4
258	460	4	255	35	56	-1	-1	-1	39	4
259	461	4	255	35	56	-1	-1	-1	39	4
260	462	4	255	35	56	-1	-1	-1	39	4
261	471	4	255	35	56	-1	-1	-1	39	4
262	472	4	255	35	56	-1	-1	-1	39	4
263	477	4	255	35	56	-1	-1	-1	39	4
264	478	4	255	35	56	-1	-1	-1	39	4
265	482	4	255	35	56	-1	-1	-1	39	4
266	484	4	255	35	56	-1	-1	-1	39	4
267	486	4	255	35	56	-1	-1	-1	39	4
268	487	4	255	35	56	-1	-1	-1	39	4
269	488	4	255	35	56	-1	-1	-1	39	4
270	489	4	255	35	56	-1	-1	-1	39	4
271	490	4	255	35	56	-1	-1	-1	39	4
272	502	4	255	35	56	-1	-1	-1	39	4
273	505	4	255	35	56	-1	-1	-1	39	4
274	506	4	255	35	56	-1	-1	-1	39	4
275	507	4	255	35	56	-1	-1	-1	39	4
276	508	4	255	35	56	-1	-1	-1	39	4
277	509	4	255	35	56	-1	-1	-1	39	4
278	510	4	255	35	56	-1	-1	-1	39	4
279	511	4	255	35	56	-1	-1	-1	39	4
280	512	4	255	35	56	-1	-1	-1	39	4
281	513	4	255	35	56	-1	-1	-1	39	4
282	514	4	255	35	56	-1	-1	-1	39	4
283	515	4	255	35	56	-1	-1	-1	39	4
284	516	4	255	35	56	-1	-1	-1	39	4
285	517	4	255	35	56	-1	-1	-1	39	4
286	518	4	255	35	56	-1	-1	-1	39	4
287	519	4	255	35	56	-1	-1	-1	39	4
288	520	4	255	35	56	-1	-1	-1	39	4
289	521	4	255	35	56	-1	-1	-1	39	4
290	522	4	255	35	56	-1	-1	-1	39	4
291	523	4	255	35	56	-1	-1	-1	39	4
292	524	4	255	35	56	-1	-1	-1	39	4
293	525	4	255	35	56	-1	-1	-1	39	4
294	526	0	22	2	56	2	-1	-1	39	4
295	530	0	22	2	56	2	-1	-1	39	4
296	532	1	42	15	56	4	-1	-1	1	1
297	533	1	74	33	56	8	17	-1	36	1
298	540	1	29	6	56	8	-1	5	5	1
299	541	1	29	6	56	8	-1	5	5	1
300	542	1	29	6	56	8	-1	-1	33	2
