ori_opcode	latency_cycles	mnemonic_best_effort	note
286		UIMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
287		UVIMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
288		ISETP	default (ALU=6 / MEM=300 by property bit 0x40)
289		UISETP	default (ALU=6 / MEM=300 by property bit 0x40)
290		MOV	default (ALU=6 / MEM=300 by property bit 0x40)
291		UMOV	default (ALU=6 / MEM=300 by property bit 0x40)
292		SEL	default (ALU=6 / MEM=300 by property bit 0x40)
293		USEL	default (ALU=6 / MEM=300 by property bit 0x40)
294		UFADD	default (ALU=6 / MEM=300 by property bit 0x40)
295		UFSEL	default (ALU=6 / MEM=300 by property bit 0x40)
296		UFFMA	default (ALU=6 / MEM=300 by property bit 0x40)
297		UFMUL	default (ALU=6 / MEM=300 by property bit 0x40)
298		UFSET	default (ALU=6 / MEM=300 by property bit 0x40)
299		UFSETP	default (ALU=6 / MEM=300 by property bit 0x40)
300		UI2I	default (ALU=6 / MEM=300 by property bit 0x40)
301		UI2IP	default (ALU=6 / MEM=300 by property bit 0x40)
302		UF2F	default (ALU=6 / MEM=300 by property bit 0x40)
303		UFRND	default (ALU=6 / MEM=300 by property bit 0x40)
304		UF2I	default (ALU=6 / MEM=300 by property bit 0x40)
305		UF2IP	default (ALU=6 / MEM=300 by property bit 0x40)
306		UI2F	default (ALU=6 / MEM=300 by property bit 0x40)
307		UI2FP	default (ALU=6 / MEM=300 by property bit 0x40)
308		UIABS	default (ALU=6 / MEM=300 by property bit 0x40)
309		CS2UR	default (ALU=6 / MEM=300 by property bit 0x40)
310		UF2FP	default (ALU=6 / MEM=300 by property bit 0x40)
311		MXQMMA_SF_16832	default (ALU=6 / MEM=300 by property bit 0x40)
312		OMMA_16864	default (ALU=6 / MEM=300 by property bit 0x40)
313		OMMA_SP_168128	default (ALU=6 / MEM=300 by property bit 0x40)
314		QMMA_16816	default (ALU=6 / MEM=300 by property bit 0x40)
315		QMMA_16832	default (ALU=6 / MEM=300 by property bit 0x40)
316		QMMA_SP_16832	default (ALU=6 / MEM=300 by property bit 0x40)
317		QMMA_SP_12864	default (ALU=6 / MEM=300 by property bit 0x40)
318		QMMA_SF_16832	default (ALU=6 / MEM=300 by property bit 0x40)
319		QMMA_SF_SP_16864	default (ALU=6 / MEM=300 by property bit 0x40)
320		SM104_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
321		LAST	default (ALU=6 / MEM=300 by property bit 0x40)
322			default (ALU=6 / MEM=300 by property bit 0x40)
323			default (ALU=6 / MEM=300 by property bit 0x40)
324			default (ALU=6 / MEM=300 by property bit 0x40)
325			default (ALU=6 / MEM=300 by property bit 0x40)
326			default (ALU=6 / MEM=300 by property bit 0x40)
327			default (ALU=6 / MEM=300 by property bit 0x40)
328			default (ALU=6 / MEM=300 by property bit 0x40)
329			default (ALU=6 / MEM=300 by property bit 0x40)
330			default (ALU=6 / MEM=300 by property bit 0x40)
331			default (ALU=6 / MEM=300 by property bit 0x40)
332			default (ALU=6 / MEM=300 by property bit 0x40)
333			default (ALU=6 / MEM=300 by property bit 0x40)
334			default (ALU=6 / MEM=300 by property bit 0x40)
335			default (ALU=6 / MEM=300 by property bit 0x40)
336			default (ALU=6 / MEM=300 by property bit 0x40)
337			default (ALU=6 / MEM=300 by property bit 0x40)
338			default (ALU=6 / MEM=300 by property bit 0x40)
339			default (ALU=6 / MEM=300 by property bit 0x40)
340			default (ALU=6 / MEM=300 by property bit 0x40)
341			default (ALU=6 / MEM=300 by property bit 0x40)
342			default (ALU=6 / MEM=300 by property bit 0x40)
343			default (ALU=6 / MEM=300 by property bit 0x40)
344			default (ALU=6 / MEM=300 by property bit 0x40)
345			default (ALU=6 / MEM=300 by property bit 0x40)
346			default (ALU=6 / MEM=300 by property bit 0x40)
347			default (ALU=6 / MEM=300 by property bit 0x40)
348			default (ALU=6 / MEM=300 by property bit 0x40)
349			default (ALU=6 / MEM=300 by property bit 0x40)
350			default (ALU=6 / MEM=300 by property bit 0x40)
351			default (ALU=6 / MEM=300 by property bit 0x40)
352			default (ALU=6 / MEM=300 by property bit 0x40)
353			default (ALU=6 / MEM=300 by property bit 0x40)
354			default (ALU=6 / MEM=300 by property bit 0x40)
