va	name	rot13_stored	is_rot13	region
0x21B8410	SinkRematMinPlaceRefDist	FvaxErzngZvaCynprErsQvfg	True	OCG knobs (ctor_005)
0x21B8440	SinkRematMinDefPlaceDist	FvaxErzngZvaQrsCynprQvfg	True	OCG knobs (ctor_005)
0x21B8470	SinkRematEnable	FvaxErzngRanoyr	True	OCG knobs (ctor_005)
0x21B8490	SinkRematDeltaRegsRatio	FvaxErzngQrygnErtfEngvb	True	OCG knobs (ctor_005)
0x21B84C0	SinkRematBudget	FvaxErzngOhqtrg	True	OCG knobs (ctor_005)
0x21B84E0	SinkRematAbsCostLimit	FvaxErzngNofPbfgYvzvg	True	OCG knobs (ctor_005)
0x21B8500	SinkCodeIntoSplitBlock	FvaxPbqrVagbFcyvgOybpx	True	OCG knobs (ctor_005)
0x21B8520	ShortStallThreshold	FubegFgnyyGuerfubyq	True	OCG knobs (ctor_005)
0x21B8540	SharedAtomicCASTMode	FunerqNgbzvpPNFGZbqr	True	OCG knobs (ctor_005)
0x21B8560	ShaderConstValidate	FunqrePbafgInyvqngr	True	OCG knobs (ctor_005)
0x21B8580	SetLive	FrgYvir	True	OCG knobs (ctor_005)
0x21B85A0	SetDebugOutputMask	FrgQrohtBhgchgZnfx	True	OCG knobs (ctor_005)
0x21B85C0	SectorPromotion	FrpgbeCebzbgvba	True	OCG knobs (ctor_005)
0x21B85E0	ScratchInt	FpengpuVag	True	OCG knobs (ctor_005)
0x21B85F8	ScratchBudget	FpengpuOhqtrg	True	OCG knobs (ctor_005)
0x21B8610	ScoreboardUseMultSBLimit	FpberobneqHfrZhygFOYvzvg	True	OCG knobs (ctor_005)
0x21B8640	ScoreboardNonDepbarLongLatInstsLimit	FpberobneqAbaQrconeYbatYngVafgfYvzvg	True	OCG knobs (ctor_005)
0x21B8670	ScoreboardLongLatInstsLikeTex	FpberobneqYbatYngVafgfYvxrGrk	True	OCG knobs (ctor_005)
0x21B86A0	SchedXU64Latency	FpurqKH64Yngrapl	True	OCG knobs (ctor_005)
0x21B86C0	SchedValidateLiveness	FpurqInyvqngrYvirarff	True	OCG knobs (ctor_005)
0x21B86E0	ScheduleKILs	FpurqhyrXVYf	True	OCG knobs (ctor_005)
0x21B8700	SchedTexLatency	FpurqGrkYngrapl	True	OCG knobs (ctor_005)
0x21B8720	SchedTexBatchTargetTexReadTogether	FpurqGrkOngpuGnetrgGrkErnqGbtrgure	True	OCG knobs (ctor_005)
0x21B8760	SchedTexBatchTargetSelectSchedulerTarget	FpurqGrkOngpuGnetrgFryrpgFpurqhyreGnetrg	True	OCG knobs (ctor_005)
0x21B87A0	SchedTexBatchTargetSelectRegisterTarget	FpurqGrkOngpuGnetrgFryrpgErtvfgreGnetrg	True	OCG knobs (ctor_005)
0x21B87E0	SchedTex2TexIssueRate	FpurqGrk2GrkVffhrEngr	True	OCG knobs (ctor_005)
0x21B8800	SchedSyncsPhasechkLatency	FpurqFlapfCunfrpuxYngrapl	True	OCG knobs (ctor_005)
0x21B8830	SchedSyncsLatency	FpurqFlapfYngrapl	True	OCG knobs (ctor_005)
0x21B8860	SchedSymmetricAntiDepConflictWindow	FpurqFlzzrgevpNagvQrcPbasyvpgJvaqbj	True	OCG knobs (ctor_005)
0x21B8890	SchedResBusyXU64	FpurqErfOhflKH64	True	OCG knobs (ctor_005)
0x21B88B0	SchedResBusyUDP	FpurqErfOhflHQC	True	OCG knobs (ctor_005)
0x21B88D0	SchedResBusyMachineOpcode	FpurqErfOhflZnpuvarBcpbqr	True	OCG knobs (ctor_005)
0x21B88F8	SchedResBusyOp	FpurqErfOhflBc	True	OCG knobs (ctor_005)
0x21B8910	SchedResBusyLSUL1	FpurqErfOhflYFHY1	True	OCG knobs (ctor_005)
0x21B8930	SchedResBusyLSU	FpurqErfOhflYFH	True	OCG knobs (ctor_005)
0x21B8950	SchedResBusyIMMA	FpurqErfOhflVZZN	True	OCG knobs (ctor_005)
0x21B8970	SchedResBusyHMMA32	FpurqErfOhflUZZN32	True	OCG knobs (ctor_005)
0x21B8990	SchedResBusyHMMA1688	FpurqErfOhflUZZN1688	True	OCG knobs (ctor_005)
0x21B89B0	SchedResBusyHMMA16816	FpurqErfOhflUZZN16816	True	OCG knobs (ctor_005)
0x21B89D0	SchedResBusyHMMA16	FpurqErfOhflUZZN16	True	OCG knobs (ctor_005)
0x21B89F0	SchedResBusyGMMA	FpurqErfOhflTZZN	True	OCG knobs (ctor_005)
0x21B8A10	SchedResBusyFP64	FpurqErfOhflSC64	True	OCG knobs (ctor_005)
0x21B8A30	SchedResBusyFP16	FpurqErfOhflSC16	True	OCG knobs (ctor_005)
0x21B8A50	SchedResBusyFMAWide	FpurqErfOhflSZNJvqr	True	OCG knobs (ctor_005)
0x21B8A70	SchedResBusyFMA	FpurqErfOhflSZN	True	OCG knobs (ctor_005)
0x21B8A90	SchedResBusyDMMA	FpurqErfOhflQZZN	True	OCG knobs (ctor_005)
0x21B8AB0	SchedResBusyCBU	FpurqErfOhflPOH	True	OCG knobs (ctor_005)
0x21B8AD0	SchedResBusyALU	FpurqErfOhflNYH	True	OCG knobs (ctor_005)
0x21B8AF0	SchedResBusyADU	FpurqErfOhflNQH	True	OCG knobs (ctor_005)
0x21B8B10	SchedRefineMemDepBudget	FpurqErsvarZrzQrcOhqtrg	True	OCG knobs (ctor_005)
0x21B8B40	SchedReduceRegBudget	FpurqErqhprErtOhqtrg	True	OCG knobs (ctor_005)
0x21B8B60	SchedReduceIncLimitHigh	FpurqErqhprVapYvzvgUvtu	True	OCG knobs (ctor_005)
0x21B8B90	SchedReduceRefPsuedoDepLimit	FpurqErqhprErsCfhrqbQrcYvzvg	True	OCG knobs (ctor_005)
0x21B8BC0	SchedReduceIncLimit	FpurqErqhprVapYvzvg	True	OCG knobs (ctor_005)
0x21B8BE0	SchedReadSbLdgstsLatency	FpurqErnqFoYqtfgfYngrapl	True	OCG knobs (ctor_005)
0x21B8C10	SchedReadSbDmmaLatency	FpurqErnqFoQzznYngrapl	True	OCG knobs (ctor_005)
0x21B8C30	SchedReadSBBaseUseLSULat	FpurqErnqFOOnfrHfrYFHYng	True	OCG knobs (ctor_005)
0x21B8C60	SchedReadSBBaseLatency	FpurqErnqFOOnfrYngrapl	True	OCG knobs (ctor_005)
0x21B8C80	SchedReadLatency	FpurqErnqYngrapl	True	OCG knobs (ctor_005)
0x21B8CA0	SchedReadAvailTarget	FpurqErnqNinvyGnetrg	True	OCG knobs (ctor_005)
0x21B8CC0	SchedPrefFurthestDep	FpurqCersShegurfgQrc	True	OCG knobs (ctor_005)
0x21B8CE0	SchedMultiRefDeltaLiveMinRefs	FpurqZhygvErsQrygnYvirZvaErsf	True	OCG knobs (ctor_005)
