class	index	abi_value	name	handler	bit_actions	status
CUDA	46	46	R_CUDA_ABS16_20	NVRH_LINKER	bits[20..35]=ADDR>>0	baseline
CUDA	47	47	R_CUDA_FUNC_DESC32_20	NVRH_DRIVER	bits[20..51]=FDESC>>0	baseline
CUDA	48	48	R_CUDA_FUNC_DESC32_LO_20	NVRH_DRIVER	bits[20..51]=LOFDESC>>0	baseline
CUDA	49	49	R_CUDA_FUNC_DESC32_HI_20	NVRH_DRIVER	bits[20..51]=HIFDESC>>32	baseline
CUDA	50	50	R_CUDA_CONST_FIELD19_20	NVRH_LINKER	bits[20..33]=SHIFT2>>0 ; bits[34..38]=CBANK>>0	baseline
CUDA	51	51	R_CUDA_BINDLESSOFF13_36	NVRH_LINKER	bits[36..48]=SHIFT2>>0	baseline
CUDA	52	52	R_CUDA_SURF_HEADER_INDEX	NVRH_DRIVER	bits[0..19]=HEADER>>0	baseline
CUDA	53	53	R_CUDA_INSTRUCTION64	NVRH_DRIVER	bits[0..63]=INST>>0	baseline
CUDA	54	54	R_CUDA_CONST_FIELD21_20	NVRH_LINKER	bits[20..35]=ADDR>>0 ; bits[36..40]=CBANK>>0	baseline
CUDA	55	55	R_CUDA_ABS32_32	NVRH_EITHER	bits[32..63]=ADDR>>0	baseline
CUDA	56	56	R_CUDA_ABS32_LO_32	NVRH_EITHER	bits[32..63]=LOADDR>>0	baseline
CUDA	57	57	R_CUDA_ABS32_HI_32	NVRH_EITHER	bits[32..63]=HIADDR>>32	baseline
CUDA	58	58	R_CUDA_ABS47_34	NVRH_DRIVER	bits[34..80]=SHIFT2>>0	baseline
CUDA	59	59	R_CUDA_ABS16_32	NVRH_LINKER	bits[32..47]=ADDR>>0	baseline
CUDA	60	60	R_CUDA_ABS24_32	NVRH_LINKER	bits[32..55]=ADDR>>0	baseline
CUDA	61	61	R_CUDA_FUNC_DESC32_32	NVRH_DRIVER	bits[32..63]=FDESC>>0	baseline
CUDA	62	62	R_CUDA_FUNC_DESC32_LO_32	NVRH_DRIVER	bits[32..63]=LOFDESC>>0	baseline
CUDA	63	63	R_CUDA_FUNC_DESC32_HI_32	NVRH_DRIVER	bits[32..63]=HIFDESC>>32	baseline
CUDA	64	64	R_CUDA_CONST_FIELD19_40	NVRH_LINKER	bits[40..53]=SHIFT2>>0 ; bits[54..58]=CBANK>>0	baseline
CUDA	65	65	R_CUDA_BINDLESSOFF14_40	NVRH_LINKER	bits[40..53]=SHIFT2>>0	baseline
CUDA	66	66	R_CUDA_CONST_FIELD21_38	NVRH_LINKER	bits[38..53]=ADDR>>0 ; bits[54..58]=CBANK>>0	baseline
CUDA	67	67	R_CUDA_INSTRUCTION128	NVRH_DRIVER	bits[0..127]=INST>>0	baseline
CUDA	68	68	R_CUDA_YIELD_OPCODE9_0	NVRH_LINKER	bits[0..8]=INST_OPCODE>>0	baseline
CUDA	69	69	R_CUDA_YIELD_CLEAR_PRED4_87	NVRH_LINKER	bits[87..90]=INST_FIELD_CLEAR>>0	baseline
