# ptxas static scheduling-class descriptor table  (.rodata VMA 0x2297C00)
# 256 classes, 72-byte stride; binary-derived (CUDA 13.0.88)
# columns: class  pipeA(hex)  pipeB(hex)  p0..p11
 632  ffffffffffffffff  0000ffffffff0000  2097160 0 39 4 19 7 3 632 0 2 1 0
 633  ffffffffffffffff  0000ffffffff0000  8388608 0 32 3 17 7 3 633 1 2 1 0
 634  0303ffffffffffff  0000ffffffff0000  1342185472 4 32 3 17 7 3 634 1 2 1 0
 635  03030202ffff0101  0000ffffffff0000  0 4 28 1 14 7 3 635 1 2 3 0
 636  03030202ffffffff  0000ffffffff0000  0 4 28 1 14 7 3 636 1 2 3 0
 641  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 641 0 1 1 0
 642  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 642 0 1 1 0
 648  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 648 0 1 1 0
 663  ffff0505ffffffff  ffffffff00000000  0 0 39 4 19 7 3 663 0 1 1 0
 670  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 670 0 1 1 0
 683  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 683 0 1 1 0
 684  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 684 0 1 1 0
 685  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 685 0 1 1 0
 688  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 688 0 1 1 0
 690  ffff060603ffffff  ffff030300000000  264 0 39 4 19 7 3 690 0 2 2 0
 691  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 691 0 1 1 0
 693  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 693 0 1 1 0
 694  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 694 0 1 1 0
 695  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 695 0 1 1 0
 697  ffff0707ffffffff  ffff020200000000  8 0 39 4 19 7 3 697 0 2 2 0
 699  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 699 0 1 1 0
 700  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 700 0 1 1 0
 701  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 701 0 1 1 0
 702  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 702 0 1 1 0
 703  ffffffffffffffff  ffff020200000000  0 0 39 4 19 7 3 703 0 1 1 0
 704  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 704 0 1 1 0
 707  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 707 0 1 1 0
 713  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 713 0 1 1 0
 714  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 714 0 1 1 0
 715  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 715 0 1 1 0
 716  ffff0505ffffffff  ffff020200000000  0 0 39 4 19 7 3 716 0 1 1 0
 755  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 755 0 1 1 0
 756  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 756 0 1 1 0
 763  0000ffffffff0202  0000ffffffff0000  0 0 39 4 19 7 3 763 0 1 1 0
 764  ffff0808ffff0202  00000404ffff0000  8 0 39 4 19 7 3 764 0 2 2 0
 769  0101000004ff0101  0000ffffffff0000  1024 1 5 1 6 7 3 769 1 2 3 0
 770  0101000004ff0101  0000ffffffff0000  1024 1 5 1 0 7 3 770 1 2 3 0
 771  ffffffffffff0101  0000ffffffff0000  0 1 5 1 6 7 3 771 1 2 3 0
