table	id	severity_code	severity	message	source
main	266	5	error	Unexpected number of arguments specified for %s with shape '%s'	plaintext
main	267	5	error	Unexpected number of instruction types specified for %s with shape '%s'	plaintext
main	268	5	error	Unexpected number of operations specified for %s with shape '%s'	plaintext
main	269	5	error	Incorrect operations specified for %s with shape '%s'	plaintext
main	270	5	error	.dtype must be '%s' when .ctype is '%s' for '%s' instruction with shape '%s'	plaintext
main	271	5	error	Modifier '%s' require for instruction %s with shape '%s'	plaintext
main	272	5	error	Modifier %s not allowed for instruction %s with shape '%s'	plaintext
main	273	5	error	Incorrect instruction type specified for %s with shape '%s'	plaintext
main	274	5	error	Modifier %s not allowed for shape '%s'	plaintext
main	275	5	error	Inconsistent type '%s' with vector .v%d for '%s'	plaintext
main	276	5	error	Instruction '%s' supports vector of only %s types	plaintext
main	277	3	warning	Unexpected instruction types specified for '%s'	plaintext
main	278	5	error	Unexpected instruction types specified for '%s'	plaintext
main	279	5	error	Arguments mismatch for instruction '%s'	plaintext
main	280	5	error	Illegal expression '%s'	plaintext
main	281	5	error	Unknown symbol '%s'	plaintext
main	282	5	error	Unknown field '%s'	plaintext
main	283	5	error	Array indexing on non-array	plaintext
main	284	5	error	Type %s may only be used as an instruction type	plaintext
main	285	5	error	Vector type too large, exceeds 128 bit limit	plaintext
main	286	5	error	Array index in the '%s' instruction has unexpected type. Expecting type .u32	plaintext
main	287	5	error	Vector with elements of different types are not allowed in %s instruction	plaintext
main	288	5	error	Incorrect no. of matrix: %d for %s with shape '%s'	plaintext
main	289	5	error	Illegal vector size: %d	plaintext
main	290	5	error	Illegal bank number: %d	plaintext
main	291	5	error	Constant banks 1..%d are reserved for external incomplete arrays	plaintext
main	292	5	error	Inconsistent state space for parameter '%s'	plaintext
main	293	5	error	Formal parameter '%s' declared in .param space cannot be used as argument to call	plaintext
main	294	5	error	Call argument '%s' has illegal state space	plaintext
main	295	5	error	Illegal to write to function input parameter '%s'	plaintext
main	296	5	error	Illegal to read function return parameter '%s'	plaintext
main	297	5	error	Multiple return parameters require .register state space	plaintext
main	298	5	error	Function parameter '%s' has illegal state space	plaintext
main	299	5	error	Illegal parameter name '%s'	plaintext
main	300	5	error	Entry parameter '%s' must have .param state space	plaintext
main	301	5	error	Parameter variables must be declared within .entry parameter list	plaintext
main	302	5	error	Parameter variables may not be declared at module scope	plaintext
main	303	5	error	Parameter variables must be declared within .entry function	plaintext
main	304	5	error	%s variables must be declared in .global space	plaintext
main	305	5	error	Texture/surface variable must be at module or entry parameter scope	plaintext
main	306	5	error	Texture variables must be declared at module scope	plaintext
main	307	5	error	Function definition conflicts with '.extern' declaration for function '%s'	plaintext
main	308	5	error	'.extern' variable '%s' cannot be resolved by a '.static'	plaintext
main	309	5	error	Inconsistent redefinition of variable '%s'	plaintext
main	310	5	error	Illegal scope for variable '%s'	plaintext
main	311	5	error	Immediate addresses allowed only for .local state space	plaintext
main	312	5	error	Variable '%s' cannot be allocated in .param state space	plaintext
main	313	5	error	Variable '%s' cannot be allocated into a register	plaintext
main	314	5	error	Predicate type can only be used to define scalar register variables	plaintext
main	315	5	error	Predicate variable '%s' must be in register state space	plaintext
main	316	5	error	Non-external variable '%s' has incomplete type	plaintext
main	317	5	error	Vector type only allowed over basic types	plaintext
main	318	5	error	Illegal to take address of parameter '%s'	plaintext
main	319	5	error	Illegal Addressing Mode in instruction '%s'	plaintext
main	320	5	error	Address expected for argument %d of instruction '%s'	plaintext
main	321	6	fatal	.const or .global array expected for argument %d of instruction '%s'	plaintext
main	322	6	fatal	Label or %s array expected for argument %d of instruction '%s'	plaintext
main	323	5	error	Label with '.branchtargets' directive expected for argument %d of instruction '%s'	plaintext
